Done epoch 134: | Train loss: 0.0078 | Val loss: 0.0231 | Time taken: 19.2757 |
Done epoch 135: | Train loss: 0.0107 | Val loss: 0.0278 | Time taken: 19.2873 |
Done epoch 136: | Train loss: 0.0141 | Val loss: 0.0261 | Time taken: 19.3223 |
Done epoch 137: | Train loss: 0.0106 | Val loss: 0.0248 | Time taken: 19.2785 |
Done epoch 138: | Train loss: 0.0176 | Val loss: 0.0315 | Time taken: 19.2398 |
Done epoch 139: | Train loss: 0.0147 | Val loss: 0.0280 | Time taken: 19.3124 |
Done epoch 140: | Train loss: 0.0116 | Val loss: 0.0307 | Time taken: 19.2972 |
Done epoch 141: | Train loss: 0.0124 | Val loss: 0.0310 | Time taken: 19.4441 |
Done epoch 142: | Train loss: 0.0097 | Val loss: 0.0226 | Time taken: 19.2592 |
Done epoch 143: | Train loss: 0.0150 | Val loss: 0.0342 | Time taken: 19.3305 |
Done epoch 144: | Train loss: 0.0118 | Val loss: 0.0244 | Time taken: 19.2668 |
Done epoch 145: | Train loss: 0.0109 | Val loss: 0.0271 | Time taken: 19.2618 |
Done epoch 146: | Train loss: 0.0113 | Val loss: 0.0259 | Time taken: 19.2579 |
Done epoch 147: | Train loss: 0.0151 | Val loss: 0.0245 | Time taken: 19.2036 |
Done epoch 148: | Train loss: 0.0124 | Val loss: 0.0195 | Time taken: 19.2469 |
Done epoch 149: | Train loss: 0.0108 | Val loss: 0.0206 | Time taken: 19.2721 |
